"field_name","category","level","actual_data_type","expected_data_type","required","source_generator","generation_method","allowed_values","default_value","normalized","used_in_embedding","used_in_filter","used_in_boost","used_in_reranker","used_in_citation","used_in_access_control","usage_locations","importance","risk_if_missing","risk_if_incorrect","notes","path_aliases","regex","min_value","max_value","max_length","max_items","consistency_scope","unique_scope","reference_target","conflict_group","conflict_sensitive","annotation_candidate","ordinal_values","conflict_roles","mutable_over_time"
"content_hash","derived","document","text nullable","string","false","upload service","SHA-256 of raw bytes","","","true","false","false","false","true","false","false","documents owner hash index","high","raw-byte duplicate signal absent","false exact duplicate grouping","Different formats with same text do not share this hash","","^[0-9a-f]{64}$","","","64","","","","","true","false","false","","","false"
"status","operational","document","text","string","true","ingestion repository","authoritative state machine","uploading|uploaded|processing|ready|failed","uploading","true","false","false","false","false","false","false","documents API; ingestion transitions","critical","readiness unknown","failed/partial document treated as ready","DB constraint is narrower than extraction_state enum","document_status","","","","32","","","","","false","true","true","uploading|uploaded|processing|ready|failed","compare:version_identity","true"
"error_message","operational","document","text nullable","string","false","worker/repository","exception summary","","","false","false","false","false","false","false","false","operations/debugging","low","diagnosis slower","sensitive detail may leak","Do not embed or expose broadly","","","","","2000","","","","","false","false","false","","","true"
"is_active","operational","document","boolean","boolean","true","database/API","authoritative soft-delete flag","true|false","true","true","false","true","false","false","false","true","RLS/retrieval document scoping","critical","archived state unknown","archived content retrieved","Never infer with LLM","","","","","","","","","","false","true","false","","","true"
"created_at","temporal","both","timestamptz","datetime","true","database","server timestamp","","now()","true","false","false","false","false","true","false","ordering; diagnostics; citation support","medium","age unknown","wrong temporal ordering","UTC timestamptz serialized as ISO-8601","","","","","64","","","","","false","false","false","","","false"
"updated_at","temporal","document","timestamptz","datetime","true","database trigger","server timestamp","","now()","true","false","false","false","false","true","false","document ordering; API display","medium","freshness unknown","stale source presented as current","Not the business effective date","","","","","64","","","","","false","true","true","","","true"
"normalized_content_hash","derived","both","text","string","true","knowledge-quality fingerprint","SHA-256 canonical text","","","true","false","false","false","true","false","false","exact document/chunk identity and collapse","critical","exact semantic-content dedup disabled","unrelated content auto-identified","Chunk required after migration 09; document may be null for failed/ineligible extraction","metadata.normalized_content_hash","^[0-9a-f]{64}$","","","64","","","","","true","false","false","","compare:exact_chunk_identity","recomputed_on_reingestion"
"normalization_version","derived","both","text","string","true","normalizer","algorithm version","","","true","false","false","false","true","false","false","hash identity scope and reconciliation","critical","hashes incomparable","different algorithms treated identical","Document may be null when fingerprint unavailable","metadata.normalization_version","^[A-Za-z0-9._:-]{1,100}$","","","100","","document","","","true","false","false","","compare:exact_chunk_identity","recomputed_on_reingestion"
"loose_content_signature","derived","both","text","string","true","knowledge-quality fingerprint","64-bit SimHash as 16 hex chars","","","true","false","false","false","true","false","false","LSH candidate generation","high","near-duplicate candidates lost","candidate noise only; verifier must decide","Not authoritative identity","metadata.loose_content_signature","^[0-9a-f]{16}$","","","16","","","","","true","false","false","","","recomputed_on_reingestion"
"canonical_document_id","derived","document","uuid nullable","uuid","false","knowledge-quality repository","authoritative duplicate link","","","true","false","true","false","true","true","false","chat canonical scope; duplicate lifecycle","critical","duplicate family unresolved","wrong canonical source selected","Must reference same owner/notebook and not self","","","","","","","","","document_id","true","true","true","","group:canonical_identity","true"
"version_group_id","version","document","uuid","uuid","true","database/knowledge quality","authoritative family UUID","","gen_random_uuid()","true","false","true","false","true","true","false","version family queries and lifecycle","critical","versions cannot be grouped","unrelated documents merged as versions","Do not infer with LLM","","","","","","","","","","true","true","true","","group:version_identity|compare:canonical_identity|compare:document_identity","true"
"version_number","version","document","integer","integer","true","knowledge-quality lifecycle","monotonic family version","","1","true","false","false","false","true","true","false","version ordering and citation","critical","version ambiguous","obsolete version treated newest","Positive integer; sequence may have gaps only if business process permits","","","1","","","","","","","false","true","true","1|2|3|4|5","group:version_identity","true"
"effective_from","temporal","document","date nullable","date","false","source/knowledge-quality action","authoritative business date","","","true","false","false","false","true","true","false","version selection; conflict context; citation","high","cannot resolve applicability","wrong policy effective period","Prefer source/system value; never guess decisive dates","","","","","10","","","","","false","true","true","","compare:version_identity","true"
"effective_to","temporal","document","date nullable","date","false","source/knowledge-quality action","authoritative business date","","","true","false","false","false","true","true","false","version selection; expiration checks","high","expiry unknown","expired content treated current","Must be >= effective_from","expiry_date","","","","10","","","","","false","true","true","","compare:version_identity","true"
"supersedes_document_id","version","document","uuid nullable","uuid","false","knowledge-quality action","authoritative predecessor link","","","true","false","true","false","true","true","false","version lineage","high","lineage incomplete","wrong predecessor/current state","Must reference same owner/notebook and not self","","","","","","","","","document_id","false","true","true","","","true"
"is_current","version","document","boolean","boolean","true","knowledge-quality lifecycle","authoritative family head flag","true|false","true","true","false","true","false","true","true","false","chat document scope; version queries","critical","current version cannot be selected","obsolete content retrieved","At most one current canonical document per family","","","","","","","","","","false","true","true","","compare:version_identity","true"
"quality_status","version","document","text","string","true","knowledge-quality workflow","rule/action state","unreviewed|clean|review_required|duplicate|superseded|conflict","unreviewed","true","false","false","false","true","true","false","quality API and lifecycle","high","review state unavailable","automatic decision overstated","Not directly filtered by retrieval RPC","","","","","32","","","","","false","true","true","unreviewed|review_required|clean|duplicate|superseded|conflict","compare:version_identity","true"
"quality_metadata","derived","document","jsonb","object","true","fingerprint and quality workflow","structured evidence","","{}","false","false","false","false","true","false","false","quality API; reconciliation","high","decision evidence lost","opaque or malformed evidence","Open JSONB object; nested keys vary by detector version","","","","","","","","","","false","false","true","","","true"
"quality_metadata.character_count","derived","document","json number","integer","false","fingerprint builder","canonical character count","","","true","false","false","false","true","false","false","auto-identity eligibility threshold","high","auto identity becomes ineligible","tiny extraction may become authoritative","Current hardening requires at least 40 for automatic identity","","","0","","","","","","","false","false","false","","","recomputed_on_reingestion"
"quality_metadata.token_count","derived","document","json number","integer","false","fingerprint builder","canonical token count","","","true","false","false","false","true","false","false","auto-identity eligibility threshold","high","auto identity becomes ineligible","tiny extraction may become authoritative","Current hardening requires at least 6 for automatic identity","","","0","","","","","","","false","false","false","","","recomputed_on_reingestion"
"quality_metadata.knowledge_quality_mode","operational","document","json text","string","false","ingestion repository","runtime profile","off|shadow|on","","true","false","false","false","false","false","false","audit provenance","medium","decision mode unknown","cannot reproduce behavior","Persisted profile not a business field","","","","","16","","","","","false","false","false","","","true"
"metadata","derived","chunk","jsonb","object","true","chunker/worker","merged structured payload","","{}","false","false","false","false","false","false","false","document_chunks JSONB","high","all chunk context lost","schema drift hidden","Open container; nested fields inventoried below","","","","","","","","","","false","false","false","","","recomputed_on_reingestion"
"chunk_index","structural","chunk","integer","integer","true","chunker/database","zero-based deterministic order","","","true","false","false","false","true","true","false","unique document position; citation","critical","neighbor/ordering unavailable","wrong source position","Unique per document","metadata.chunk_index","","0","","","","","","","false","false","false","","","recomputed_on_reingestion"
"content","content","chunk","text","string","true","parser/chunker","normalized source chunk text","","","false","true","false","true","true","true","false","generation; FTS weight D; fingerprint","critical","no evidence","answer/citation wrong","Canonical answer text; not metadata but audited as core contract","text","","","","","","","","","true","false","false","","compare:chunk_identity","recomputed_on_reingestion"
"token_count","structural","chunk","integer","integer","true","chunker/database","whitespace estimate","","","true","false","false","false","false","false","false","chunk limits and diagnostics","medium","length distribution unavailable","incorrect capacity assumptions","Not model tokenizer count","metadata.token_count","","1","","","","","","","false","false","false","","","recomputed_on_reingestion"
"character_count","structural","chunk","json/integer","integer","false","chunker","Unicode code-point count of chunk text","","","true","false","false","false","false","false","false","chunk diagnostics and extraction quality","medium","length audit is weaker","incorrect capacity assumptions","Stored in initial chunk metadata but may be dropped by EmbeddedChunk projection","metadata.character_count","","1","","","","","","","false","false","false","","","recomputed_on_reingestion"
"page_number","provenance","chunk","integer nullable","integer","false","chunker","first source token page","","","true","false","false","false","true","true","false","citation display and sample context","high","page citation unavailable","wrong page cited","Does not mean all text is on one page","metadata.page","","1","","","","","","","false","true","true","","","recomputed_on_reingestion"
"section_title","provenance","chunk","text nullable","string","false","parser/chunker","nearest structural heading","","","false","true","false","true","true","true","false","embedding context; FTS B; citation","high","context/retrieval weaker","chunk assigned wrong section","Alias heading is current flat metadata key","metadata.heading|metadata.retrieval_metadata.section_title","","","","500","","","","","false","true","true","","","recomputed_on_reingestion"
"section_id","structural","chunk","text nullable","string","false","chunker","source structural identifier","","","false","false","false","false","true","true","false","provenance and citation support","medium","structure trace weak","wrong structural link","Not parent_chunk hierarchy","metadata.section","","","","500","","","","","false","false","true","","","recomputed_on_reingestion"
"offset_start","structural","chunk","integer","integer","false","chunker","character offset in normalized document flow","","","true","false","false","false","false","true","false","provenance/debugging","medium","exact location unavailable","misaligned highlight","Currently transient unless copied into JSONB","metadata.offset_start","","0","","","","","","","false","false","false","","","recomputed_on_reingestion"
"offset_end","structural","chunk","integer","integer","false","chunker","exclusive character offset","","","true","false","false","false","false","true","false","provenance/debugging","medium","exact span unavailable","misaligned highlight","Must be >= offset_start","metadata.offset_end","","0","","","","","","","false","false","false","","","recomputed_on_reingestion"
"parent_chunk_id","structural","chunk","text nullable","string","false","chunker","hierarchical parent","","","true","false","false","false","false","false","false","not used in active retrieval","low","no impact in current runtime","false hierarchy","Domain field exists but current strategy always sets parent_chunk=None","metadata.parent_chunk_id|parent_chunk","","","","500","","","","chunk_id","false","false","false","","","recomputed_on_reingestion"
"children","structural","chunk","array","array[string]","false","chunker","hierarchical children","","[]","true","false","false","false","false","false","false","not used in active retrieval","low","no impact in current runtime","false hierarchy","Current strategy emits empty tuple","metadata.children","","","","","100","","","chunk_id","false","false","false","","","recomputed_on_reingestion"
"strategy","provenance","chunk","text","string","true","chunker","runtime strategy name","structure_recursive|content_aware","","true","false","false","false","false","false","false","reproducibility","high","chunking baseline unknown","mixed strategy unnoticed","Active runtime is structure_recursive","metadata.strategy","","","","100","","document","","","false","false","false","","","recomputed_on_reingestion"
"strategy_version","provenance","chunk","text","string","true","chunker","implementation version","","","true","false","false","false","false","false","false","reproducibility","high","cannot compare generations","incompatible chunks treated same","","metadata.strategy_version","^[A-Za-z0-9._:-]{1,100}$","","","100","","document","","","false","false","false","","","recomputed_on_reingestion"
"chunk_version","provenance","chunk","text","string","false","chunker domain","chunk contract version","","","true","false","false","false","false","false","false","migration diagnostics","medium","schema generation unknown","mixed contracts unnoticed","Stored in initial chunk metadata but not explicitly copied by EmbeddedChunk builder","metadata.chunk_version","","","","100","","document","","","false","false","false","","","recomputed_on_reingestion"
"metadata_version","provenance","chunk","text","string","false","chunker domain","metadata contract version","","","true","false","false","false","false","false","false","schema diagnostics","medium","metadata generation unknown","mixed contracts unnoticed","May be dropped during EmbeddedChunk projection","metadata.metadata_version","","","","100","","document","","","false","false","false","","","recomputed_on_reingestion"
"config_checksum","provenance","chunk","text","string","true","chunker","SHA-256 strategy config","","","true","false","false","false","false","false","false","reproducibility and chunk identity","high","chunk config unknown","incompatible chunks compared","","metadata.config_checksum","^[0-9a-f]{64}$","","","64","","document","","","false","false","false","","","recomputed_on_reingestion"
"content_checksum","derived","chunk","text","string","false","chunker","truncated SHA-256 of chunk surface text","","","true","false","false","false","false","false","false","chunk source id construction","medium","source id reproduction weaker","collision risk if treated authoritative","12 hex chars; not authoritative exact identity","metadata.content_checksum|checksum","^[0-9a-f]{12,64}$","","","64","","","","","true","false","false","","","recomputed_on_reingestion"
"source_block_ids","provenance","chunk","json array/text","array[string]","true","chunker","source block lineage","","[]","true","false","false","false","false","true","false","provenance and citation debugging","high","cannot trace parser blocks","wrong block lineage","Embedded form is array even though strategy intermediate uses comma-separated text","metadata.source_block_ids","","","","","1000","","","","false","false","true","","","recomputed_on_reingestion"
"table_identity","provenance","chunk","text nullable","string","false","chunker","stable table identifier","","","true","false","false","false","true","true","false","table grouping","medium","table grouping weaker","rows joined to wrong table","","metadata.table_identity","","","","500","","","","","false","true","true","","","recomputed_on_reingestion"
"table_row_group_index","structural","chunk","integer nullable","integer","false","table row-group chunker","zero-based row-group order","","","true","false","false","false","true","true","false","table context and ordering","medium","row group order unknown","wrong table row citation","Only present for oversized grouped tables","metadata.table_row_group_index|metadata.retrieval_metadata.table_row_group_index","","0","","","","","","","false","false","true","","","recomputed_on_reingestion"
"table_row_group","structural","chunk","json boolean","boolean","false","table row-group chunker","deterministic grouping marker","true|false","false","true","false","false","false","false","true","false","table provenance and citation context","medium","grouped-table origin is hidden","ordinary chunk mistaken for grouped rows","Only true is normally emitted","metadata.table_row_group","","","","","","","","","false","false","true","","","recomputed_on_reingestion"
"document_version","version","chunk","integer","integer","true","chunker/source","parent version copied to chunk","","1","true","false","false","false","true","true","false","citation and parent-version consistency","critical","chunk version ambiguous","chunk attached to wrong policy version","Must equal parent document version_number","metadata.document_version","","1","","","","document","","","false","true","true","1|2|3|4|5","compare:document_identity|compare:chunk_identity|compare:source_identity","recomputed_on_reingestion"
"parser_name","provenance","chunk","text","string","true","parser","adapter identifier","","","true","false","false","false","false","false","false","audit strata and reproduction","high","parser-specific quality cannot be measured","wrong parser quality attribution","","metadata.parser_name|metadata.parser","","","","100","","document","","","false","false","true","","","recomputed_on_reingestion"
"parser_version","provenance","chunk","text","string","true","parser","adapter version","","","true","false","false","false","false","false","false","reproducibility","high","parser generation unknown","mixed output contracts","","metadata.parser_version","^[A-Za-z0-9._:-]{1,100}$","","","100","","document","","","false","false","false","","","recomputed_on_reingestion"
"page_count","provenance","chunk","json number","integer","false","parser/extraction","authoritative or inferred page count","","","true","false","false","false","false","true","false","coverage and page validation","medium","page completeness unknown","invalid page citations accepted","May be inherited into chunk JSONB depending parser path","metadata.page_count","","0","","","","document","","","false","false","true","","","recomputed_on_reingestion"
"pdf_type","provenance","chunk","json text","string","false","PDF analyzer","rule-based classification","text_native|scanned|hybrid|encrypted|corrupted|unknown","unknown","true","false","false","false","false","false","false","parser quality strata","medium","OCR strata unavailable","wrong extraction route diagnosis","PDF only","metadata.pdf_type","","","","32","","document","","","false","false","true","","","recomputed_on_reingestion"
"extraction_strategy","provenance","chunk","json text","string","false","document analyzer/router","rule-based route","native|ocr|hybrid|reject|unsupported|empty","","true","false","false","false","false","false","false","extraction quality strata","high","route quality cannot be segmented","wrong parser route hidden","Values depend on analysis enum","metadata.extraction_strategy","","","","32","","document","","","false","false","true","","","recomputed_on_reingestion"
"estimated_ocr_required","provenance","chunk","json boolean","boolean","false","PDF analyzer","rule-based signal","true|false","false","true","false","false","false","false","false","false","OCR diagnostics","medium","OCR need unknown","quality issue misattributed","PDF only","metadata.estimated_ocr_required","","","","","","document","","","false","false","true","","","recomputed_on_reingestion"
"analysis_confidence","provenance","chunk","json number","number","false","PDF analyzer","rule-based confidence","","","true","false","false","false","false","false","false","parser quality strata","medium","uncertainty not measurable","confidence miscalibrated","PDF only","metadata.analysis_confidence","","0","1","","","document","","","false","false","true","","","recomputed_on_reingestion"
"sheet_count","provenance","chunk","json number","integer","false","XLSX parser","workbook sheet count","","","true","false","false","false","false","true","false","spreadsheet completeness","medium","sheet coverage unknown","missing sheets unnoticed","XLSX only","metadata.sheet_count","","0","","","","document","","","false","false","true","","","recomputed_on_reingestion"
"retrieval_metadata","derived","chunk","json object","object","true","chunker/context enricher","typed retrieval context","","{}","false","true","false","true","true","true","false","embedding builder; FTS generated column; retrieval mapping","critical","contextual retrieval disabled","schema drift affects search","Open object with fields below","metadata.retrieval_metadata","","","","","","","","","false","false","false","","","recomputed_on_reingestion"
"title","routing","chunk","json text nullable","string","false","parser/document fallback","source title","","","false","true","false","true","true","true","false","embedding; FTS A; result display","high","title queries lose recall","wrong document boosted/cited","Current source may be parser title or filename fallback","metadata.retrieval_metadata.title|metadata.title","","","","500","","document","","","false","true","true","","compare:document_identity|compare:source_identity","recomputed_on_reingestion"
"document_type","routing","chunk","json text nullable","string","false","DocumentClassifierFactory","heuristic classification","policy|presentation|spreadsheet|report|article|manual|form|unknown","unknown","true","true","false","true","true","true","false","embedding; FTS C; reranker metadata","high","type queries weaker","wrong type context/boost","Not a production hard filter","metadata.retrieval_metadata.document_type|metadata.document_type","","","","64","","document","","","false","true","true","","compare:document_identity|compare:source_identity","recomputed_on_reingestion"
"language","routing","chunk","json text","string","false","parser/document model","source/default language","","unknown","true","true","false","true","true","true","false","embedding context; query/rerank context","high","cross-language retrieval weaker","wrong language normalization","Normalize to BCP-47-like lowercase where possible","metadata.retrieval_metadata.language|metadata.language","^[A-Za-z]{2,3}(-[A-Za-z0-9]{2,8})*$","","","32","","document","","","false","true","true","","compare:document_identity|compare:source_identity","recomputed_on_reingestion"
"section_path","routing","chunk","json array","array[string]","false","structure parser/chunker","ordered heading path","","[]","false","true","false","true","true","true","false","embedding; FTS B; citation","high","hierarchical context lost","wrong section boosted","Current flat section may be the only element","metadata.retrieval_metadata.section_path|metadata.section_path","","","","","20","","","","false","true","true","","","recomputed_on_reingestion"
"content_kind","routing","chunk","json text","string","false","block classifier","structural block type","heading|paragraph|sentence|list|table|image|figure|caption|header|footer|code|quote|formula|page_number|horizontal_rule|unknown","unknown","true","true","false","true","true","true","false","embedding; FTS C; reranking","medium","content-type query weaker","table/prose context confused","Current BlockType enum","metadata.retrieval_metadata.content_kind|metadata.block_type","","","","32","","","","","false","true","true","","","recomputed_on_reingestion"
"table_header","routing","chunk","json text nullable","string","false","table parser/chunker","header carried with table row group","","","false","true","false","true","true","true","false","embedding; FTS B; citation context","high","table rows lose meaning","wrong column semantics","","metadata.retrieval_metadata.table_header|metadata.table_header","","","","2000","","","","","false","true","true","","","recomputed_on_reingestion"
"keyword_aliases","routing","chunk","json array","array[string]","false","source metadata/chunker","trusted aliases","","[]","true","true","false","true","true","false","false","embedding/search builder; FTS C","medium","alias queries lose recall","unrelated aliases cause false positives","Current code does not prove an LLM source for aliases","metadata.retrieval_metadata.keyword_aliases|metadata.keyword_aliases","","","","","32","document","","","false","true","true","","","recomputed_on_reingestion"
"contextual_summary","derived","chunk","json text nullable","string","false","OpenAIChunkContextEnricher","LLM generated per chunk","","","false","true","false","true","true","false","false","embedding context; FTS B; reranking","high","contextual retrieval gain absent","hallucinated context distorts retrieval","Must be checked with input checksum and human gold","metadata.retrieval_metadata.contextual_summary","","","","600","","","","","false","true","true","","","recomputed_on_reingestion"
"contextual_search_terms","derived","chunk","json array","array[string]","false","OpenAIChunkContextEnricher","LLM generated per chunk","","[]","true","false","false","true","true","false","false","FTS C/search_text","high","keyword recall gain absent","hallucinated terms cause false positives","Maximum configured terms is 8","metadata.retrieval_metadata.contextual_search_terms","","","","","8","","","","false","true","true","","","recomputed_on_reingestion"
"embedding_context","routing","chunk","json text nullable","string","false","context builder","rendered structured context","","","false","true","false","false","false","false","false","embedding_text construction","medium","dense context weaker","irrelevant context shifts vector","May be transient depending pipeline generation","metadata.retrieval_metadata.embedding_context","","","","2000","","","","","false","false","true","","","recomputed_on_reingestion"
"embedding_text","routing","transient","text","string","true","build_embedding_text","context prepend + content","","","false","true","false","false","false","false","false","dense embedding input","critical","cannot reproduce vectors","embedding represents wrong text","Stored transiently then represented by embedding_text_checksum","metadata.embedding_text","","","","","","","","","false","false","false","","","recomputed_on_reingestion"
"search_text","routing","transient","text","string","true","build_search_text","metadata/search terms + content","","","false","false","false","true","false","false","false","application sparse input contract","high","cannot reproduce sparse input","wrong terms indexed","Production PostgreSQL instead generates search_vector from content + metadata","metadata.search_text","","","","","","","","","false","false","false","","","recomputed_on_reingestion"
"embedding_text_checksum","provenance","chunk","json text","string","true","embedding pipeline","SHA-256 embedding input","","","true","false","false","false","false","false","false","embedding reproducibility/reuse","critical","stale vector cannot be detected","vector reused for wrong input","","metadata.embedding_text_checksum","^[0-9a-f]{64}$","","","64","","","","","true","false","false","","","recomputed_on_reingestion"
"search_text_checksum","provenance","chunk","json text nullable","string","false","context/search builder","SHA-256 sparse input","","","true","false","false","false","false","false","false","index provenance","high","stale sparse input cannot be detected","wrong text assumed indexed","","metadata.search_text_checksum","^[0-9a-f]{64}$","","","64","","","","","true","false","false","","","recomputed_on_reingestion"
"embedding_model","provenance","chunk","json/adapter text","string","true","embedding provider","runtime model name","text-embedding-3-small","","true","false","false","false","false","false","false","vector compatibility and reuse","critical","vector generation unknown","incompatible vectors compared","Persisted in payload/quality lookup; remote chunk table may expose it only through metadata/RPC","metadata.embedding_model","","","","200","","document","","","false","false","false","","","recomputed_on_reingestion"
"ingestion_generation","provenance","chunk","json text nullable","string","false","ingestion worker","attempt generation token","","","true","false","false","false","false","false","false","idempotency/reconciliation","high","stale write detection weaker","old generation overwrites current","Operational authoritative token","metadata.ingestion_generation","","","","200","","document","","","false","true","false","","","recomputed_on_reingestion"
"contextual_text_version","provenance","chunk","json text nullable","string","false","context builder","context contract version","","","true","false","false","false","false","false","false","context migration diagnostics","high","mixed context formats hidden","incorrect before/after comparison","","metadata.contextual_text_version","","","","100","","document","","","false","false","false","","","recomputed_on_reingestion"
"context_enrichment","derived","chunk","json object","object","false","context enricher","generation provenance","","","false","false","false","false","false","false","false","LLM audit provenance","high","LLM fields not auditable","untraceable generation","Fallback also writes status/provenance","metadata.context_enrichment","","","","","","","","","false","false","false","","","recomputed_on_reingestion"
"context_enrichment.status","derived","chunk","json text","string","false","context enricher","validated result state","generated|fallback","","true","false","false","false","true","false","false","quality strata and rerank trust","high","generated/fallback indistinguishable","fallback treated as LLM truth","","metadata.context_enrichment.status","","","","16","","","","","false","true","true","fallback|generated","","recomputed_on_reingestion"
"context_enrichment.provider","provenance","chunk","json text","string","false","context enricher","runtime provider","openai|fallback","","true","false","false","false","false","false","false","reproducibility","medium","provider unknown","quality attributed to wrong provider","","metadata.context_enrichment.provider","","","","100","","document","","","false","false","false","","","recomputed_on_reingestion"
"context_enrichment.model","provenance","chunk","json text","string","false","context enricher","runtime model name","","","true","false","false","false","false","false","false","LLM quality strata","high","model comparison unavailable","mixed model output unnoticed","Hosted revision remains unpinned","metadata.context_enrichment.model","","","","200","","document","","","false","false","true","","","recomputed_on_reingestion"
"context_enrichment.prompt_version","provenance","chunk","json text","string","false","context enricher","stable prompt contract id","","","true","false","false","false","false","false","false","LLM quality strata/reproducibility","high","prompt generations mixed","wrong comparison conclusion","","metadata.context_enrichment.prompt_version","^[A-Za-z0-9._:-]{1,100}$","","","100","","document","","","false","false","false","","","recomputed_on_reingestion"
"context_enrichment.input_checksum","provenance","chunk","json text","string","false","context enricher","SHA-256 trusted request input","","","true","false","false","false","false","false","false","stale/hallucination diagnostics","high","output/input linkage absent","context reused for wrong chunk","","metadata.context_enrichment.input_checksum","^[0-9a-f]{64}$","","","64","","","","","true","false","false","","","recomputed_on_reingestion"
"context_enrichment.error_code","operational","chunk","json text nullable","string","false","context enricher","sanitized fallback reason","","","true","false","false","false","false","false","false","failure-rate analysis","medium","fallback cause unknown","sensitive exception detail exposed","Should be stable code rather than raw exception","metadata.context_enrichment.error_code","","","","100","","","","","false","false","true","","","recomputed_on_reingestion"
"exact_duplicate_group_id","derived","chunk","uuid","uuid","true","database/application","UUIDv5 from owner + notebook + normalization version + strict hash","","","true","false","false","false","true","false","false","exact collapse and group index","critical","exact duplicates not grouped","unrelated chunks collapsed","DB constraint recomputes expected group","metadata.exact_duplicate_group_id","","","","","","","","","true","false","false","","group:exact_chunk_identity","recomputed_on_reingestion"
"canonical_text","derived","chunk","json/transient text","string","false","sanitizer/chunker","canonical text before fingerprint","","","false","false","false","false","true","false","false","fingerprint verification","high","hash cannot be human audited","wrong canonicalization hidden","Not selected by exporter unless present in metadata","metadata.canonical_content|metadata.canonical_text","","","","","","","","","true","false","true","","","recomputed_on_reingestion"
"pre_embedding_quality","derived","chunk","json object","object","false","ChunkPreEmbeddingDeduplicator","candidate decision evidence","","","false","false","false","false","true","false","false","vector reuse and quality audit","high","near-duplicate decision opaque","candidate decision overstated","Nested keys vary by action","metadata.pre_embedding_quality","","","","","","","","","false","false","true","","","recomputed_on_reingestion"
"pre_embedding_quality.detector_version","provenance","chunk","json text","string","false","quality detector","algorithm version","","","true","false","false","false","false","false","false","dedup quality strata","high","detector generations mixed","wrong comparison","","metadata.pre_embedding_quality.detector_version","","","","100","","document","","","false","false","false","","","recomputed_on_reingestion"
