field_name,category,level,record_type,required,total_records,non_empty_count,valid_count,coverage,valid_coverage,validity,missing_count,null_count,empty_string_count,empty_list_count,empty_object_count,placeholder_count,unique_count,cardinality_ratio,entropy,importance
normalization_version,derived,both,document,True,3,2,2,0.666667,0.666667,1.0,0,1,0,0,0,0,1,0.5,-0.0,critical
normalization_version,derived,both,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,1,0.25,-0.0,critical
loose_content_signature,derived,both,document,True,3,2,2,0.666667,0.666667,1.0,0,1,0,0,0,0,2,1.0,1.0,high
loose_content_signature,derived,both,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,3,0.75,1.5,high
canonical_document_id,derived,document,document,False,3,0,0,0.0,0.0,,0,3,0,0,0,0,0,,0.0,critical
version_group_id,version,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,2,0.666667,0.918296,critical
version_number,version,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,2,0.666667,0.918296,critical
effective_from,temporal,document,document,False,3,3,2,1.0,0.666667,0.666667,0,0,0,0,0,0,3,1.0,1.584963,high
effective_to,temporal,document,document,False,3,2,2,0.666667,0.666667,1.0,0,1,0,0,0,0,2,1.0,1.0,high
supersedes_document_id,version,document,document,False,3,1,1,0.333333,0.333333,1.0,0,2,0,0,0,0,1,1.0,-0.0,high
is_current,version,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,1,0.333333,-0.0,critical
quality_status,version,document,document,True,3,3,3,1.0,1.0,1.0,0,0,0,0,0,0,2,0.666667,0.918296,high
quality_metadata,derived,document,document,True,3,2,2,0.666667,0.666667,1.0,0,0,0,0,1,0,2,1.0,1.0,high
quality_metadata.character_count,derived,document,document,False,3,2,2,0.666667,0.666667,1.0,1,0,0,0,0,0,2,1.0,1.0,high
quality_metadata.token_count,derived,document,document,False,3,2,2,0.666667,0.666667,1.0,1,0,0,0,0,0,2,1.0,1.0,high
quality_metadata.knowledge_quality_mode,operational,document,document,False,3,2,2,0.666667,0.666667,1.0,1,0,0,0,0,0,1,0.5,-0.0,medium
metadata,derived,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,4,1.0,2.0,high
chunk_index,structural,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,2,0.5,0.811278,critical
content,content,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,3,0.75,1.5,critical
token_count,structural,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,3,0.75,1.5,medium
character_count,structural,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,medium
page_number,provenance,chunk,chunk,False,4,4,3,1.0,0.75,0.75,0,0,0,0,0,0,4,1.0,2.0,high
section_title,provenance,chunk,chunk,False,4,3,3,0.75,0.75,1.0,0,0,0,0,0,1,2,0.666667,0.918296,high
section_id,structural,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,medium
offset_start,structural,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
offset_end,structural,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
parent_chunk_id,structural,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,low
children,structural,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,low
strategy,provenance,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,1,0.25,-0.0,high
strategy_version,provenance,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,1,0.25,-0.0,high
chunk_version,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
metadata_version,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
config_checksum,provenance,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,1,0.25,-0.0,high
content_checksum,derived,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,medium
source_block_ids,provenance,chunk,chunk,True,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,high
table_identity,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
table_row_group_index,structural,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
table_row_group,structural,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
document_version,version,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,2,0.5,1.0,critical
parser_name,provenance,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,3,0.75,1.5,high
parser_version,provenance,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,2,0.5,0.811278,high
page_count,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
pdf_type,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
extraction_strategy,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,high
estimated_ocr_required,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
analysis_confidence,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
sheet_count,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
retrieval_metadata,derived,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,4,1.0,2.0,critical
title,routing,chunk,chunk,False,4,3,3,0.75,0.75,1.0,0,0,0,0,0,1,3,1.0,1.584963,high
document_type,routing,chunk,chunk,False,4,3,3,0.75,0.75,1.0,0,0,0,0,0,1,2,0.666667,0.918296,high
language,routing,chunk,chunk,False,4,4,3,1.0,0.75,0.75,0,0,0,0,0,0,3,0.75,1.5,high
section_path,routing,chunk,chunk,False,4,3,3,0.75,0.75,1.0,0,0,0,1,0,0,2,0.666667,0.918296,high
content_kind,routing,chunk,chunk,False,4,3,3,0.75,0.75,1.0,0,0,0,0,0,1,2,0.666667,0.918296,medium
table_header,routing,chunk,chunk,False,4,2,2,0.5,0.5,1.0,2,0,0,0,0,0,1,0.5,-0.0,high
keyword_aliases,routing,chunk,chunk,False,4,2,2,0.5,0.5,1.0,0,0,0,2,0,0,1,0.5,-0.0,medium
contextual_summary,derived,chunk,chunk,False,4,2,2,0.5,0.5,1.0,1,0,0,0,0,1,2,1.0,1.0,high
contextual_search_terms,derived,chunk,chunk,False,4,3,2,0.75,0.5,0.666667,0,0,0,1,0,0,3,1.0,1.584963,high
embedding_context,routing,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
embedding_text_checksum,provenance,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,4,1.0,2.0,critical
search_text_checksum,provenance,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,high
embedding_model,provenance,chunk,chunk,True,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,critical
ingestion_generation,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,high
contextual_text_version,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,high
context_enrichment,derived,chunk,chunk,False,4,3,3,0.75,0.75,1.0,1,0,0,0,0,0,3,1.0,1.584963,high
context_enrichment.status,derived,chunk,chunk,False,4,3,3,0.75,0.75,1.0,1,0,0,0,0,0,2,0.666667,0.918296,high
context_enrichment.provider,provenance,chunk,chunk,False,4,3,3,0.75,0.75,1.0,1,0,0,0,0,0,1,0.333333,-0.0,medium
context_enrichment.model,provenance,chunk,chunk,False,4,3,3,0.75,0.75,1.0,1,0,0,0,0,0,1,0.333333,-0.0,high
context_enrichment.prompt_version,provenance,chunk,chunk,False,4,3,3,0.75,0.75,1.0,1,0,0,0,0,0,1,0.333333,-0.0,high
context_enrichment.input_checksum,provenance,chunk,chunk,False,4,3,3,0.75,0.75,1.0,1,0,0,0,0,0,3,1.0,1.584963,high
context_enrichment.error_code,operational,chunk,chunk,False,4,1,1,0.25,0.25,1.0,2,1,0,0,0,0,1,1.0,-0.0,medium
exact_duplicate_group_id,derived,chunk,chunk,True,4,4,4,1.0,1.0,1.0,0,0,0,0,0,0,3,0.75,1.5,critical
canonical_text,derived,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,high
pre_embedding_quality,derived,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,high
pre_embedding_quality.detector_version,provenance,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,high
pre_embedding_quality.action,derived,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,high
pre_embedding_quality.relation_type,version,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,high
pre_embedding_quality.confidence,version,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,medium
pre_embedding_quality.embedding_reused,derived,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,high
pre_embedding_quality.match_source,derived,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
pre_embedding_quality.target_document_id,derived,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,high
pre_embedding_quality.target_chunk_id,derived,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,high
pre_embedding_quality.simhash_hamming_distance,derived,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,medium
pre_embedding_quality.lsh_band_matches,derived,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,medium
pre_embedding_quality.lexical_similarity,derived,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,high
pre_embedding_quality.containment,derived,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,high
pre_embedding_quality.reason_codes,derived,chunk,chunk,False,4,1,1,0.25,0.25,1.0,3,0,0,0,0,0,1,1.0,-0.0,high
provenance_metadata,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,medium
authority_metadata,version,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,high
qdrant_point_id,provenance,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,low
source_chunk_id,identity,chunk,chunk,True,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,high
pre_embedding_quality.target_chunk_index,structural,chunk,chunk,False,4,0,0,0.0,0.0,,4,0,0,0,0,0,0,,0.0,high
quality_metadata.normalization_version,provenance,document,document,False,3,0,0,0.0,0.0,,3,0,0,0,0,0,0,,0.0,critical
quality_metadata.numbers,derived,document,document,False,3,0,0,0.0,0.0,,3,0,0,0,0,0,0,,0.0,high
quality_metadata.dates,temporal,document,document,False,3,0,0,0.0,0.0,,3,0,0,0,0,0,0,,0.0,high
quality_metadata.has_negation,derived,document,document,False,3,0,0,0.0,0.0,,3,0,0,0,0,0,0,,0.0,medium
quality_metadata.identity_trusted,identity,document,document,False,3,0,0,0.0,0.0,,3,0,0,0,0,0,0,,0.0,critical
quality_metadata.projection_source,provenance,document,document,False,3,0,0,0.0,0.0,,3,0,0,0,0,0,0,,0.0,high
quality_metadata.table_count,structural,document,document,False,3,0,0,0.0,0.0,,3,0,0,0,0,0,0,,0.0,high
quality_metadata.fallback_used,provenance,document,document,False,3,0,0,0.0,0.0,,3,0,0,0,0,0,0,,0.0,high
quality_metadata.unrepresented_visual_count,structural,document,document,False,3,0,0,0.0,0.0,,3,0,0,0,0,0,0,,0.0,critical
quality_metadata.replacement_character_count,derived,document,document,False,3,0,0,0.0,0.0,,3,0,0,0,0,0,0,,0.0,critical
